WKT_GEOM,NEW DATASET,ID,OLD DATASET,OLD ID,VERSION,COUNTRY,ACCURACY,START DATE,END DATE,TYPE,TRIGGER,AFFIDABILITY,PSV,DCMV,FATALITIES,INJURIES,NOTES,LINK
POINT (13.663726 45.746652),UGLC,CALC,ITALICA,ITA_0934,V2 - 2023,Italy,599,2005/08/04,2005/08/04,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Trieste, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (11.884649 44.023336),UGLC,CALC,ITALICA,ITA_0935,V2 - 2023,Italy,599,2014/11/17,2014/11/17,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Forli-Cesena, Emilia-Romagna, description: ND",Source: ND
POINT (11.619416 44.214518),UGLC,CALC,ITALICA,ITA_0936,V2 - 2023,Italy,0,2015/02/25,2015/02/25,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Ravenna, Emilia-Romagna, description: ND",Source: ND
POINT (11.862327 44.10319),UGLC,CALC,ITALICA,ITA_0937,V2 - 2023,Italy,0,2015/02/25,2015/02/25,rock fall,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Forli-Cesena, Emilia-Romagna, description: ND",Source: ND
POINT (9.549102 44.858474),UGLC,CALC,ITALICA,ITA_0938,V2 - 2023,Italy,1799,2015/02/25,2015/02/25,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Piacenza, Emilia-Romagna, description: ND",Source: ND
POINT (10.166458 44.620895),UGLC,CALC,ITALICA,ITA_0939,V2 - 2023,Italy,599,2015/02/26,2015/02/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Parma, Emilia-Romagna, description: ND",Source: ND
POINT (11.724142 43.996925),UGLC,CALC,ITALICA,ITA_0940,V2 - 2023,Italy,0,2016/11/06,2016/11/06,rock fall,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Forli-Cesena, Emilia-Romagna, description: ND",Source: ND
POINT (10.318084 44.318056),UGLC,CALC,ITALICA,ITA_0941,V2 - 2023,Italy,0,2017/12/11,2017/12/11,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (13.756177 45.602768),UGLC,CALC,ITALICA,ITA_0942,V2 - 2023,Italy,599,2007/05/27,2007/05/27,mudslide,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Trieste, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.763397 45.60415),UGLC,CALC,ITALICA,ITA_0943,V2 - 2023,Italy,599,2007/05/27,2007/05/27,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Trieste, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.633035 46.167311),UGLC,CALC,ITALICA,ITA_0944,V2 - 2023,Italy,599,2007/06/15,2007/06/15,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pordenone, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (10.193731 44.374164),UGLC,CALC,ITALICA,ITA_0945,V2 - 2023,Italy,0,2017/12/11,2017/12/11,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (10.253893 44.334687),UGLC,CALC,ITALICA,ITA_0946,V2 - 2023,Italy,0,2017/12/12,2017/12/12,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Reggio nell'Emilia, Emilia-Romagna, description: ND",Source: ND
POINT (11.840939 44.061571),UGLC,CALC,ITALICA,ITA_0947,V2 - 2023,Italy,0,2018/02/24,2018/02/24,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Forli-Cesena, Emilia-Romagna, description: ND",Source: ND
POINT (13.791761 45.674659),UGLC,CALC,ITALICA,ITA_0948,V2 - 2023,Italy,1799,2008/04/09,2008/04/09,rock fall,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Trieste, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.495484 46.028743),UGLC,CALC,ITALICA,ITA_0949,V2 - 2023,Italy,599,2008/04/23,2008/04/23,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.916614 46.35053),UGLC,CALC,ITALICA,ITA_0950,V2 - 2023,Italy,599,2008/05/18,2008/05/18,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.779497 46.360362),UGLC,CALC,ITALICA,ITA_0951,V2 - 2023,Italy,599,2008/05/19,2008/05/19,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.545902 46.484671),UGLC,CALC,ITALICA,ITA_0952,V2 - 2023,Italy,599,2008/08/15,2008/08/15,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.432342 46.159086),UGLC,CALC,ITALICA,ITA_0953,V2 - 2023,Italy,599,2008/08/24,2008/08/24,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.76485 46.585897),UGLC,CALC,ITALICA,ITA_0954,V2 - 2023,Italy,599,2008/09/12,2008/09/12,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.392772 46.452787),UGLC,CALC,ITALICA,ITA_0955,V2 - 2023,Italy,1799,2008/10/29,2008/10/29,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.263341 46.268424),UGLC,CALC,ITALICA,ITA_0956,V2 - 2023,Italy,1799,2008/10/29,2008/10/29,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (10.0001 44.622715),UGLC,CALC,ITALICA,ITA_0957,V2 - 2023,Italy,0,2002/12/04,2002/12/04,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Parma, Emilia-Romagna, description: ND",Source: ND
POINT (11.2467 44.390372),UGLC,CALC,ITALICA,ITA_0958,V2 - 2023,Italy,0,2004/11/11,2004/11/11,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Bologna, Emilia-Romagna, description: ND",Source: ND
POINT (10.9834 44.148199),UGLC,CALC,ITALICA,ITA_0959,V2 - 2023,Italy,0,2008/12/01,2008/12/01,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Bologna, Emilia-Romagna, description: ND",Source: ND
POINT (12.918293 46.213486),UGLC,CALC,ITALICA,ITA_0960,V2 - 2023,Italy,599,2009/03/29,2009/03/29,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pordenone, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.464215 45.980282),UGLC,CALC,ITALICA,ITA_0961,V2 - 2023,Italy,599,2009/03/31,2009/03/31,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.470545 46.006495),UGLC,CALC,ITALICA,ITA_0962,V2 - 2023,Italy,1799,2009/03/31,2009/03/31,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Gorizia, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.781845 46.542786),UGLC,CALC,ITALICA,ITA_0963,V2 - 2023,Italy,599,2009/05/27,2009/05/27,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.851171 46.589152),UGLC,CALC,ITALICA,ITA_0964,V2 - 2023,Italy,599,2009/07/18,2009/07/18,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.714704 46.528187),UGLC,CALC,ITALICA,ITA_0965,V2 - 2023,Italy,599,2009/07/18,2009/07/18,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (12.788346 46.521337),UGLC,CALC,ITALICA,ITA_0966,V2 - 2023,Italy,599,2009/07/18,2009/07/18,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.549963 46.187195),UGLC,CALC,ITALICA,ITA_0967,V2 - 2023,Italy,599,2009/08/29,2009/08/29,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
POINT (13.312214 46.415373),UGLC,CALC,ITALICA,ITA_0968,V2 - 2023,Italy,1799,2009/09/04,2009/09/04,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Udine, Friuli-Venezia Giulia, description: ND",Source: ND
