,OLD_DATA,START_DATA
276,2/12/2007,2007/12/02
277,6/25/2013,2013/06/25
278,2/22/2010,2010/02/22
279,5/3/2013,2013/03/05
280,6/26/2015,2015/06/26
281,5/3/2013,2013/03/05
282,4/30/2013,2013/04/30
283,8/1/2012,2012/01/08
284,3/1/2015,2015/01/03
285,11/7/2013,2013/07/11
286,9/9/2005,2005/09/09
287,1/17/2014,2014/01/17
288,3/16/2012,2012/03/16
289,1/31/2014,2014/01/31
290,12/21/2013,2013/12/21
291,2/27/2014,2014/02/27
292,2/28/2014,2014/02/28
293,1/22/2005,2005/01/22
294,1/28/2005,2005/01/28
295,8/28/2005,2005/08/28
296,11/9/2005,2005/09/11
297,11/10/2005,2005/10/11
298,11/19/2005,2005/11/19
299,4/13/2007,2007/04/13
300,8/21/2007,2007/08/21
301,8/24/2007,2007/08/24
302,1/19/2008,2008/01/19
303,1/23/2008,2008/01/23
304,4/26/2008,2008/04/26
305,8/18/2008,2008/08/18
306,1/23/2009,2009/01/23
307,1/30/2009,2009/01/30
308,1/31/2009,2009/01/31
309,2/11/2009,2009/11/02
310,2/12/2009,2009/12/02
311,2/13/2009,2009/02/13
312,2/21/2009,2009/02/21
313,6/20/2009,2009/06/20
314,11/3/2009,2009/03/11
315,4/17/2010,2010/04/17
316,8/27/2010,2010/08/27
317,8/31/2010,2010/08/31
318,9/1/2010,2010/01/09
319,11/2/2010,2010/02/11
320,12/23/2011,2011/12/23
321,4/11/2012,2012/11/04
322,9/3/2012,2012/03/09
323,9/5/2012,2012/05/09
324,4/14/2014,2014/04/14
325,4/16/2014,2014/04/16
326,5/8/2014,2014/08/05
327,6/27/2014,2014/06/27
328,7/1/2014,2014/01/07
329,7/26/2014,2014/07/26
330,7/29/2014,2014/07/29
331,8/7/2015,2015/07/08
332,8/26/2006,2006/08/26
333,8/27/2006,2006/08/27
334,5/14/2007,2007/05/14
335,11/25/2007,2007/11/25
336,11/29/2007,2007/11/29
337,4/29/2008,2008/04/29
338,7/20/2008,2008/07/20
339,4/10/2009,2009/10/04
340,4/14/2009,2009/04/14
341,4/10/2010,2010/10/04
342,4/19/2010,2010/04/19
343,9/29/2012,2012/09/29
344,10/24/2012,2012/10/24
345,1/15/2013,2013/01/15
346,1/14/2013,2013/01/14
347,3/16/2013,2013/03/16
348,4/21/2013,2013/04/21
349,5/14/2013,2013/05/14
350,8/19/2013,2013/08/19
351,9/19/2013,2013/09/19
352,9/23/2013,2013/09/23
353,9/22/2013,2013/09/22
354,9/28/2013,2013/09/28
355,9/30/2013,2013/09/30
356,10/6/2013,2013/06/10
357,2/28/2014,2014/02/28
358,3/14/2014,2014/03/14
359,3/21/2014,2014/03/21
360,4/6/2014,2014/06/04
361,5/20/2014,2014/05/20
362,8/4/2014,2014/04/08
363,2/20/2015,2015/02/20
364,3/7/2015,2015/07/03
365,3/22/2015,2015/03/22
366,8/17/2015,2015/08/17
367,8/28/2015,2015/08/28
368,9/15/2015,2015/09/15
369,9/19/2015,2015/09/19
370,9/19/2015,2015/09/19
371,9/30/2015,2015/09/30
372,10/1/2015,2015/01/10
373,10/17/2015,2015/10/17
374,10/18/2015,2015/10/18
375,10/19/2015,2015/10/19
376,10/6/2004,2004/06/10
377,1/15/2014,2014/01/15
378,2/18/2016,2016/02/18
379,2/14/2016,2016/02/14
380,2/16/2016,2016/02/16
381,2/18/2016,2016/02/18
382,3/1/2015,2015/01/03
383,12/16/2003,2003/12/16
384,12/17/2005,2005/12/17
385,2/27/2016,2016/02/27
386,9/22/2004,2004/09/22
387,9/29/2004,2004/09/29
388,10/6/2004,2004/06/10
389,10/8/2004,2004/08/10
390,10/12/2004,2004/12/10
391,11/5/2004,2004/05/11
392,11/4/2004,2004/04/11
393,12/17/2004,2004/12/17
394,12/18/2004,2004/12/18
395,12/19/2004,2004/12/19
396,12/21/2004,2004/12/21
397,12/21/2004,2004/12/21
398,2/26/2005,2005/02/26
399,3/10/2005,2005/10/03
400,3/16/2005,2005/03/16
401,4/9/2004,2004/09/04
402,9/21/2005,2005/09/21
403,5/23/2007,2007/05/23
404,10/13/2007,2007/10/13
405,10/16/2010,2010/10/16
406,4/3/2008,2008/03/04
407,9/21/2012,2012/09/21
408,3/7/2016,2016/07/03
409,5/31/2011,2011/05/31
410,3/21/2008,2008/03/21
411,3/10/2011,2011/10/03
412,3/2/2014,2014/02/03
413,5/10/2006,2006/10/05
414,6/19/2015,2015/06/19
415,2/2/2014,2014/02/02
416,3/30/2006,2006/03/30
417,10/6/2012,2012/06/10
418,5/13/2011,2011/05/13
419,3/21/2011,2011/03/21
420,3/9/2011,2011/09/03
421,3/10/2016,2016/10/03
422,1/12/2011,2011/12/01
423,5/31/2013,2013/05/31
424,6/29/2011,2011/06/29
425,5/16/2014,2014/05/16
426,4/18/2011,2011/04/18
427,10/25/2007,2007/10/25
428,12/14/2006,2006/12/14
429,7/27/2015,2015/07/27
430,5/15/2012,2012/05/15
431,6/18/2006,2006/06/18
432,5/12/2011,2011/12/05
433,10/29/2015,2015/10/29
434,4/9/2015,2015/09/04
435,7/2/2010,2010/02/07
436,6/11/2014,2014/11/06
437,8/30/2011,2011/08/30
438,7/21/2010,2010/07/21
439,4/19/2006,2006/04/19
440,4/19/2013,2013/04/19
441,3/10/2008,2008/10/03
442,3/14/2006,2006/03/14
443,5/20/2011,2011/05/20
444,1/11/2008,2008/11/01
